epoch,Training Loss,Validation Loss
1,0.99460757,0.997554
2,0.99262077,0.9975197
3,0.99233145,0.99747354
4,0.9917588,0.9972759
5,0.99032396,0.99692637
6,0.99006647,0.9960425
7,0.99026585,0.99420977
8,0.9902685,0.9941952
9,0.9888306,0.9913621
10,0.9892379,0.99061346
11,0.9889669,0.9895432
12,0.9878683,0.9891728
13,0.98777455,0.98875093
14,0.9862032,0.9877738
15,0.9861573,0.98783904
16,0.9852885,0.98730713
17,0.9852703,0.9885677
18,0.98369426,0.9869749
19,0.98319757,0.9857317
20,0.98194724,0.9844167
21,0.9802861,0.98359275
22,0.97854275,0.9828688
23,0.977041,0.9809303
24,0.973495,0.9811344
25,0.972366,0.9779444
26,0.9689338,0.97667986
27,0.9684658,0.9742796
28,0.96343446,0.97148854
29,0.95864743,0.96956605
30,0.9550302,0.963936
31,0.94234574,0.9573364
32,0.94051117,0.9542568
33,0.9353543,0.9387853
34,0.92580503,0.9340377
35,0.91373944,0.92679244
36,0.90203637,0.9453732
37,0.8935381,0.90992415
38,0.87872046,0.89002216
39,0.8520564,0.8983003
40,0.81583387,0.8752481
41,0.79386973,0.8384875
42,0.76413167,0.833948
43,0.73520315,0.7398982
44,0.67917,0.7325856
45,0.6431735,0.7087743
46,0.62185615,0.6647746
47,0.56254286,0.59006226
48,0.53622216,0.5012031
49,0.46958268,0.42392266
50,0.44503695,0.4635676
51,0.42248315,0.4672503
52,0.3861902,0.397716
53,0.36400583,0.32565635
54,0.33313924,0.31467885
55,0.36643827,0.33526802
56,0.34182602,0.31912374
57,0.34833828,0.38034058
58,0.39151537,0.3747403
59,0.35054097,0.38972634
60,0.32354945,0.45358455
61,0.34545833,0.44082105
62,0.31553105,0.26165396
63,0.31080294,0.29401737
64,0.29035476,0.29708612
65,0.28121564,0.28968745
66,0.2526966,0.3514012
67,0.2777437,0.2805947
68,0.2548674,0.29687953
69,0.25643453,0.23886865
70,0.25645387,0.23280215
71,0.2336111,0.26389533
72,0.2475363,0.23152119
73,0.23532397,0.2260797
74,0.23388988,0.23158652
75,0.25293934,0.23113102
76,0.25319996,0.26654768
77,0.25615484,0.23300302
78,0.24331336,0.21927094
79,0.23358017,0.211142
80,0.23456952,0.21319246
81,0.22740972,0.23094118
82,0.2562552,0.25128835
83,0.264605,0.24569356
